Publication Type,Authors,Article Title,Abstract,Filter,Approach,Subapproach,Lab_response,Monitoring_method,Source Title,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,,ISSN,eISSN,Year,DOI,UT (Unique WOS ID)
J,"Reena; Kaur, A; Singh, M; Sinha, BK; Kumar, A; Ahmad, S",Impact of abiotic factors on population dynamics of Bactrocera dorsalis Hendel and Bactrocera zonata (Saunders) at different ecological zones in NW Plains of India,"In India, fruit flies have been identified as one of the ten most serious problems of agriculture because of their polyphagous nature and the huge economic loss it causes to the fruits and vegetables (2.5 to 100%). Study was carried to determine the population dynamics of fruit flies (Bactrocera dorsalis and Bactrocera zonata) and establish the correlation with abiotic factors in guava and citrus fruits crops in two agro ecological zones of North West India. Fruit flies population was recorded by installation of pheromone traps in different fruit crop ecosystems during the fruiting season of this zone. The data of trap catches of both the locations was correlated with the significantly influencing abiotic parameters. The peak fruit fly incidence varied between 31st to 34th standard weeks in guava ecosystem at both the locations. In citrus ecosystem, the incidence was highest during 35th and 39th standard weeks coinciding with the ripening of the fruits. At both the locations, trap catches of guava ecosystem were positively correlated with all the weather parameters, while under citrus ecosystem minimum temperature and rainfall showed negative correlation, but relative humidity was positively correlated. Information may be utilized in targeting suitable pest management techniques for respective zones.",yes,field,abundance,,,JOURNAL OF AGROMETEOROLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0972-1665,NA,2020,NA,WOS:000595378000003
J,"Singh, G; Jaglan, MS; Verma, T; Khokhar, S","Influence of prevailing weather parameters on population dynamics of spotted stem borer, Chilo partellus (Swinhoe) and its natural enemies on maize in Haryana","The experiment was conducted at CCS Haryana Agricultural University Regional Research Station, Karnal to ascertain the influence of prevailing meteorological parameters on population dynamics of Chilo partellus and its natural enemies on maize during Kharif, 2017. Maximum oviposition (0.75 egg masses per plant) was recorded during 28th standard meteorological week (SMW) whereas larval population was at peak during 31st SMW (3.8 larvae per plant). Cumulative (47.5%) and fresh plant infestation (11.5%) were maximum during 34th and 28th SMW, respectively. Maximum egg parasitisation (6.53%) by Trichogramma sp. and larval parasitisation (31.64%) by Cotesia flavipes was recorded during 28th and 33rd SMW, respectively. Changes in pest population were correlated and regressed with weather parameters. Egg and larval populations of C. partellus and parasitisation by Trichogramma sp. exhibited significant positive correlation with average minimum temperature whereas C. flavipes exhibited significant negative correlation with average maximum temperature (r = -0.741) and highly significant positive correlation with evening relative humidity (r = 0.695). Plant infestation and dead heart formation were significantly correlated with average minimum temperature and non-significantly correlated with all other weather parameters. The multiple linear regression analysis explained the variability due to various weather parameters. This information can be utilised while formulating integrated management tactics against this pest.",yes,field,abundance,,,JOURNAL OF AGROMETEOROLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0972-1665,NA,2020,NA,WOS:000595378000008
J,"Gandhi, BK; Singh, SK; Kumar, K; Vennila, S; Srujana, Y; Artikatiyar; Singh, NP",Forecasting Helicoverpa armigera (Lepidoptera: Noctuidae) larval phenology in pigeonpea and chickpea crops using growing degree days,"Gram pod borer, Helicoverpa armigera is a serious insect pest of pigeonpea and chickpea crops, responsible for huge economic losses. Timely forecasting and subsequent sensible management practices of H. armigera would save the crops from economic damage. In the present study, H. armigera larval incidence data was recorded from sixteen pigeonpea and chickpea growing locations (Maharashtra, India) for three seasons (2015, 2016 and 2017). Observed accumulated GDD (from 40 SMW to 7 SMW) revealed, H. armigera completed one generation in 29 days to develop 4 generations across the locations and seasons. After accumulating 86GDD (40 SMW) and 62 GDD (43 SMW), larval 'biofix' (initial incidence of larvae) was started in pigeonpea and chickpea, respectively. Logistic regression model estimated accumulated GDD required by H. armigera larvae to reach ETL in pigeonpea (629 GDD) and chickpea (378 GDD), which was same as observed accumulated GDD. Statistical criteria viz., Adjusted r(2), AIC and BIC projected logistic regression model as a better performer in most cases. The geographically unique models developed based on biofix and accumulated GDD in this study can be used for timely advisories and sustainable management of H. armigera in pigeonpea and chickpea crops after field validation.",no,,,,,JOURNAL OF AGROMETEOROLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0972-1665,NA,2020,NA,WOS:000595378000011
J,"Song, YL; Linderholm, HW; Luo, Y; Xu, JX; Zhou, GS",Climatic Causes of Maize Production Loss under Global Warming in Northeast China,"Maize (Zea mays L.) is one of the most important staple crops in Northeast China, and yield losses are mainly induced by climate anomalies, plant diseases and pests. To understand how maize yield loss is affected by global warming, daily precipitation and temperatures, together with provincial agricultural data sets, were analyzed. The results showed that the accumulated temperature, an important factor in agricultural productivity, increased by 5% in 1991-2017, compared to 1961-1990, and that the frequency of low temperatures decreased by 14.8% over the same time period. An increase in drought by 21.6% was observed from 1961-1990 to 1991-2017, caused by decreased growing-season precipitation by -4 mm/decade. In addition, days with heavy rain in August and September increased slightly in Northeast China. In general, maize growth responded positively to the increased thermal conditions; in 1961-1990, 22.7% of observed maize yield-loss cases were due to low temperatures, but only 10% in 1991-2017. However, during the same time, the number of drought-induced yield loss cases increased from 27.3% to 46.7%. Moreover, yield loss cases caused by heavy rainstorms increased from 4.5% to 13.3%, indicating that heavy rainstorms have become an increasing threat to agriculture in Northeast China over the last three decades. In total, at least 70% of cases of provincial yield losses in Northeast China over the last three decades could be attributed to climatic factors. The frequency of climate hazards has changed under global warming, resulting in new challenges for agriculture. While drought and low temperatures were the primary causes for climate-induced yield losses before the 1990s, negative impacts from extreme events, mainly drought but also heavy precipitation, have increased in the last three decades, associated with global change. Farmers, agricultural scientists, and government policy makers could use these results when planning for adaptation to climate change.",no,,,,,SUSTAINABILITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2071-1050,2020,10.3390/su12187829,WOS:000589708600001
J,"Johnson, JC; Garver, E; Martin, T",Black widows on an urban heat island: extreme heat affects spider development and behaviour from egg to adulthood,"Urbanization rapidly alters the environment, often leading to decreased biodiversity. One abiotic selection pressure uniquely associated with urbanization is the urban heat island (UHI) effect-wherein built structures (e.g. paved surfaces) capture heat during the day, retain it through the dark cycle and result in significantly elevated night-time temperatures. Relatively few studies have asked what effects the UHI might have on the development and behaviour of urban animals, and even fewer have asked this question of urban arthropod pests who rely on external heat sources and can experience explosive urban population growth rates. In particular, behavioural plasticity is often cited as a critical phenotype for organisms to thrive after rapid environmental change such as urbanization. Here, the relationship between elevated urban temperatures and behaviour was examined in the western black widow spider, Latrodectus hesperus. With regard to the UHI, young spiderlings raised at urban, elevated temperatures showed significantly reduced life span, reduced body mass, elevated web building, heightened voracity towards heterospecific prey and sibling cannibalism. In contrast, males studied later in the final pre reproductive moults and raised at urban, elevated temperatures showed reduced life span, decreased adult body condition and increased voracity towards prey. We found no effects of temperature on late stage male web building or courtship behaviour. UHI temperatures simulated in the laboratory present black widow spiders with a myriad of developmental problems, but our data suggest these spiders use temperature-sensitive behavioural plasticity to attempt to accommodate this stressor. (c) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",no,,,,,ANIMAL BEHAVIOUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0003-3472,1095-8282,2020,10.1016/j.anbehav.2020.07.005,WOS:000566536800008
J,"Poitou, L; Bras, A; Pineau, P; Lorme, P; Roques, A; Rousselet, J; Auger-Rozenberg, MA; Laparie, M","Diapause Regulation in Newly Invaded Environments: Termination Timing Allows Matching Novel Climatic Constraints in the Box Tree Moth, Cydalima perspectalis (Lepidoptera: Crambidae)","Simple Summary The box tree moth, Cydalima perspectalis, is an Asian pest whose rapid invasion in Europe causes considerable economic and ecological impacts. Larvae enter a winter diapause induced by photoperiod in both native and invaded ranges, but factors that trigger the return to an active phase are still unknown. Yet, identifying them is crucial to understanding how diapause end synchronizes with the end of the winter stress encountered in Europe. We tested whether activity resumption is regulated by thermal and/or photoperiodic thresholds, two factors often involved in diapause termination, by exposing diapausing caterpillars from an invaded area to crossed treatments at the laboratory. The evolution of diapause rate was monitored over time and compared to that of nearby field sites invaded. A strong positive effect of increasing temperature was found on the rate and dynamics of diapause termination, whereas no compelling effect of photoperiod appeared. Resuming development directly when main stressors fade, not in response to indirect photoperiodic cues that could be mismatched outside native areas, likely contributes to the good match observed between diapause and the new climates encountered in the invaded range. This finding can improve phenological modelling of the overwintering generation and help better mitigate its damage. The association between indirect environmental cues that modulate insect diapause and the actual stressors is by no means granted when a species encounters new environments. The box tree moth, Cydalima perspectalis, is an Asian pest whose rapid invasion in Europe causes considerable economic and ecological impacts. Larvae enter a winter diapause induced by the photoperiod in both native and invaded ranges, but factors that trigger the return to an active phase are still unknown. Yet, identifying them is crucial to understand how diapause end synchronizes with the end of the winter stress encountered in Europe. To test whether activity resumption is regulated by thermal and/or photoperiodic thresholds, or additive effects between these factors often involved in diapause termination, diapausing caterpillars from an invaded area were exposed to crossed treatments at the laboratory. The evolution of diapause rate was monitored over time and compared to that of nearby field sites invaded. A strong positive effect of increasing temperature was found on the rate and dynamics of diapause termination, whereas no compelling effect of photoperiod appeared. Resuming development directly when main stressors fade, not in response to indirect photoperiodic cues that could be mismatched outside native areas, likely contributes to the good match observed between diapause and the new climates that this pest encountered in the invaded range.",no,,,,,INSECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2075-4450,2020,10.3390/insects11090629,WOS:000582037800001
J,"Wang, WW; He, PY; Zhang, YY; Liu, TX; Jing, XF; Zhang, SZ",The Population Growth of Spodoptera frugiperda on Six Cash Crop Species and Implications for Its Occurrence and Damage Potential in China,"Simple Summary The fall armyworm Spodoptera frugiperda is an invasive pest, which can cause severe economic losses by larvae feeding on a variety of crops. To develop effective control technology, it is particularly necessary to study the basic biology and ecology of this invasive insect. This experiment investigated the development, survival, and reproduction and population growth of S. frugiperda on six cash crop species. This study indicated that S. frugiperda fed on maize and wheat had shorter preadult developmental durations, higher preadult survival, greater pupal weights and higher fecundity compared to the other four plants. Moreover, although the young larvae of S. frugiperda feeding on Chinese cabbage had a high mortality rate, the old larvae were voracious, which might still cause economic losses to Chinese cabbage. Our results showed that S. frugiperda could cause great economic losses to these cash crops, which should attract the attention of agricultural management departments. Spodoptera frugiperda is a significant migratory invasive pest, identified as a serious threat to agricultural production and food security in China. However, to our knowledge, the effects of most host plants on the biological characteristics of S. frugiperda have not been well studied. To develop effective management strategies for S. frugiperda in its new invasive habitat, basic biological and ecological knowledge of this pest are crucial requirements. Here, we examined the effects of six cash crops maize, wheat, soybean, tomato, cotton and Chinese cabbage on the development, survival, fecundity of S. frugiperda by using the age-stage, two-sex life table. The preadult stage, adult preoviposition period and total preoviposition period of S. frugiperda were shortest on maize and wheat but were longest on tomato. Fecundity was greatest on maize and wheat but smallest on tomato. The highest intrinsic rate of increase, finite rate of increase, net reproductive rate and the shortest mean generation time were recorded on maize. This present study showed that S. frugiperda could cause great economic losses to these cash crops, which should attract the attention of agricultural management departments. Our findings provide useful information in predicting population dynamics and understanding the potential damage that could be incurred by S. frugiperda invasion.",no,,,,,INSECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2075-4450,2020,10.3390/insects11090639,WOS:000581367200001
J,"Byeon, DH; Jung, S; Lee, SG; Jeon, SW; Kwon, M; Kim, J; Kim, KH; Lee, WH",Changes in Spatiotemporal Distribution of the Potato Tuber Moth (Phthorimaea operculella) in South Korea in Response to Climate Change Determined Using a Field Survey,"Potato tuber moth (Phthorimaea operculella), one of the leading potato-damaging pests in the world, has caused severe damage to potato production in South Korea after its introduction in the 1960s. This study surveyed the field occurrence of potato tuber moth in various sites in South Korea and used the results to validate the CLIMEX model, which spatiotemporally evaluated the potential distribution of potato tuber moths in response to climate change. The potato tuber moths were predicted to appear throughout the country, consistent with the results obtained for potato tuber moths in 96% of the field survey area. In addition, the climatic suitability of potato tuber moths will remain high due to climate change, suggesting a high risk for damage to seasonal potato production from seeding to harvesting. This spatiotemporal assessment of potato tuber moth distribution is expected to aid in establishing control strategies optimized based on time and place.",no,,,,,AGRONOMY-BASEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2073-4395,2020,10.3390/agronomy10091270,WOS:000580934200001
J,"Kulfan, J; Zach, P; Holec, J; Brown, PMJ; Sarvasova, L; Skuhrovec, J; Martinkova, Z; Honek, A; Val'ka, J; Holecova, M; Saniga, M",The Invasive Box Tree Moth Five Years after Introduction in Slovakia: Damage Risk to Box Trees in Urban Habitats,"The box tree mothCydalima perspectalis(Walker, 1859) (Lepidoptera: Crambidae) is an invasive species in Europe and a serious pest of box trees (Buxusspp.). In Slovakia, Central Europe, it was first reported in 2012 within the low elevation region with a warm climate. We hypothesize that the cold mountain region of Slovakia would provide less suitable conditions for the spread of this species, indicated by no or only slight damage to box trees. Five years afterC. perspectaliswas first recorded in Slovakia, we assessed the probability of occurrence of the moth and the probability of damage to box trees (Buxus sempervirens) by its larvae, using temperature and altitude data as predictors. In June and July 2017, at 156 locations (towns and villages) between the altitudes of 109 and 888 m, we recorded damage and categorized the intensity of damage to box trees byC. perspectalisusing a four-point scale. Box trees infested byC. perspectaliswere recorded in most locations at altitudes between 110 and 400 m with the mean annual temperature varying between 10.5 and 7.9 degrees C. High damage to box trees was found in locations up to 340 m a.s.l. characterized by mean annual temperatures above 8.5 degrees C. Our results suggested high probability (>60%) of any damage to box trees for the area up to approximately 300 m a.s.l. (mean annual temperature above 8.4 degrees C), and high probability (>60%) of high damage for the area up to approximately 250 m a.s.l. (mean annual temperature above 9 degrees C). The area where damage to box trees was predicted using the altitude showed great overlap with the area predicted using the mean annual temperature. The area with the probability of any damage was only slightly larger than the area with the probability of high damage.",yes,field,damage,,,FORESTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1999-4907,2020,10.3390/f11090999,WOS:000579965900001
J,"Freeman, M; Looney, C; Orlova-Bienkowskaja, MJ; Crowder, DW","Predicting the Invasion Potential of the Lily Leaf Beetle,Lilioceris liliiScopoli (Coleoptera: Chrysomelidae), in North America","Simple Summary The lily leaf beetle,Lilioceris liliiScopoli (Coleoptera: Chrysomelidae), is an invasive pest of cultivated and native lilies (Liliaceae). This Eurasian beetle was introduced to North America in 1943, and can now be found in nine provinces and 14 states. The lily leaf beetle has already been found feeding and reproducing on several eastern species of native lilies. To help predict whereL. lilliiwill be able to establish in North America and which native Liliaceae species will be vulnerable to attack, a habitat suitability model was created. This model uses specimen location data along with environmental data to produce habitat suitability estimates between 0 (low suitability) and 1 (high suitability). Model results indicate that the beetle should be able to establish throughout the range of most North American Liliaceae, including species of special conservation concern. With the increased utilization of habitat suitability models in conservation management, this model should be consulted, to help plan preemptive monitoring and control efforts forL. liliiin regions, with Liliaceae species of conservation concern. Invasive species are among the leading threats to global ecosystems due to impacts on native flora and fauna through competition and predation. The lily leaf beetle,Lilioceris liliiScopoli (Coleoptera: Chrysomelidae), is an invasive pest of lilies (Liliumspp.) and other genera of Liliaceae (Liliales). A habitat suitability model was created using Maxent, to help predict ifL. liliiwill be able to establish in locations were native North American Liliaceae species grow. The model was created using georeferenced occurrence records from the beetle's native, naturalized, and invasive range. Model results indicate that precipitation in the driest quarter and annual average temperatures are most strongly correlated withL. liliidistribution, and suggest that the species will perform poorly in very dry, hot, or cold environments. The model also indicates that the beetle should be able to establish throughout the range of most North American Liliaceae genera, including species of special conservation concern. This model can be used by natural area managers to identify areas of high habitat suitability that overlap with vulnerable North American Liliaceae species, and prioritizeL. liliimonitoring and control activities as the beetle continues to expand its range.",no,,,,,INSECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2075-4450,2020,10.3390/insects11090560,WOS:000580118900001
J,"Papanastasiou, SA; Rodovitis, VG; Bataka, EP; Verykouki, E; Papadopoulos, NT",Population Dynamics ofDrosophila suzukiiin Coastal and Mainland Sweet Cherry Orchards of Greece,"Simple Summary Drosophila suzukiior spotted-wing drosophila is a fruit fly of the same family as the vinegar fly. The majority of Drosophila fruit flies are not considered agricultural pests. However,D. suzukiiis a pest of several high-value soft and thin skin fruits such as strawberries and sweet cherries.Drosophila suzukiiis also considered worldwide as one of the most important invasive insect pests. We monitored the insect's flight and we assessed the infestation levels of different sweet-cherry cultivars, in coastal and mainland cherry orchards of Greece, for two consecutive years (2018-2020). Adults were captured throughout the year in the coastal area with two peaks in spring and late-autumn. Captures were nearly zero during the hot summer months. Trap captures exhibited only one peak in autumn at the mainland area, and ceased during winter and spring. Higher sweet-cherry infestation levels were recorded in the coastal than in the mainland area and in unmanaged than in commercial orchards. Both early and late-ripening cultivars were highly susceptible toD. suzukiiinfestation in the coastal area. Infestation rates were higher in late-ripening cultivars than in early-ripening ones in the mainland area. We conclude thatD. suzukiihas adapted well to the Mediterranean climate of Greece, and is able to progressively exploit several crops and wild hosts of mainland and coastal areas. Despite the recent invasion and wide spread ofDrosophila suzukiiMatsumura (Diptera: Drosophilidae) in Europe, little is known regarding its population trends in coastal areas of the southern Mediterranean countries. Using adult trapping and fruit sampling, we studied the population dynamics ofD. suzukiiin coastal and mainland (semi-highland) cherry orchards of Greece, from 2018 to 2020. Adults were captured in traps baited with apple cider vinegar, placed in conventional and unmanaged sweet-cherry orchards, and in neighbouring wild growing hosts. Sampling of sweet-cherry fruit to assess infestation levels was conducted from early and late-ripening cherry cultivars in both areas. Adults were captured throughout the year in the coastal area with two peaks registered in spring and late-autumn. Captures were nearly zero during the hot summer months. Flight activity exhibited only one peak in autumn at the mainland area, and ceased during winter and spring. Captures in wild hosts were lower during the sweet-cherry ripening period than later in the season. Higher sweet-cherry infestation levels were recorded in the coastal than in the mainland area and in unmanaged than in commercial orchards. Both early and late-ripening cultivars were highly susceptible toD. suzukiiinfestation in the coastal area. Infestation rates were higher in late-ripening cultivars than in early-ripening ones in the mainland area. We conclude thatD. suzukiihas well adapted to the Mediterranean climate of Greece, and is able to progressively exploit several crops and wild hosts of mainland and coastal areas.",yes,field,abundance,,,INSECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2075-4450,2020,10.3390/insects11090621,WOS:000580022200001
J,"Canhanga, L; De Meyer, M; Cugala, D; Massimiliano, V; Maulid, M","Economic injury level of the Oriental fruit fly, Bactrocera dorsalis (Diptera: Tephritidae), on commercial mango farms in Manica Province, Mozambique","The present study describes the population dynamics of Bactrocera dorsalis (Hendel) in Manica Province (Mozambique), provides estimates of mango yield, economic losses and the economic injury level. From September 2014 to August 2015, methyl eugenol-baited traps were placed in three selected orchards (Trangapasso, Produssola and Pandafarm) and mango fruits were collected and incubated. Data on potential yield was estimated in each of the orchards and the owners were interviewed to collect information regarding mango selling prices. Differences in B. dorsalis catches, percentage of damaged fruits and infestation rates were determined across locations as well as sampling dates. The economic injury level (EIL) was estimated for each orchard. The populations of B. dorsalis started to build up in November 2014 reaching an abundance peak in January 2015 (40.26 flies/trap/day). Population growth was correlated to average temperature, month and host availability. The highest percentage of damaged fruits (77.16 %) and the highest rates of infestation (41.27 %, B. dorsalis/kg) were recorded during January. Average yield losses associated with fruit flies were estimated at 5.65 t/ha with a financial loss of USD 3428.97/ha. EIL varied among orchards and was estimated at 33.14 B. dorsalis/trap/week on average.",yes,field,abundance,,,AFRICAN ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1021-3589,1026-4914,2020,10.4001/003.028.0278,WOS:000575904500007
J,"Tutuncu, S; Emekci, M",Effect of different controlled atmosphere gas compositions on the developmental time of Cadra cautella pupae at different temperatures,"Low oxygen and/or high carbon dioxide environments (hypoxic, anoxic or hypercarbic atmospheres) can cause a delay in insect development, the length of which depends on the exposure time, gas concentration, environmental factors, species, etc. Therefore, in this study, delay in development in 0-72 h old pupae of Cadra (=Ephestia) cautella was investigated by exposing them to two low oxygen (1% and 3%) atmospheres supplemented with high carbon dioxide (95% and 85%) balanced with nitrogen for 6-112 h at 20 degrees C, 25 degrees C and 30 degrees C and 65% relative humidity. Development-delaying effects of controlled or modified atmospheres (MA) were strongest at 20 degrees C, followed by 25 degrees C and 30 degrees C. The shortest exposure time at which delay in development was statistically meaningful was 24 h. Development-delaying effects of both MAs were of similar pattern. When compared to control groups, delay in development was in the range of 2.03-9.64 d at 20 degrees C, 0.19-3.72 d at 25 degrees C, and 0.02-2.77 d at 30 degrees C. Cadra cautella pupae, which were exposed to 1% oxygen with 95% carbon dioxide (balance with nitrogen) at 20 degrees C for 64 h, could still hatch 24 d after the treatment in comparison to control groups in which pupal eclosion was max. 16 d. Therefore in MAs applications, delay in development could be an important issue to consider for controlling stored-products pests, especially at lower temperatures. (C) 2020 Elsevier Ltd. All rights reserved.",no,,,,,JOURNAL OF STORED PRODUCTS RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0022-474X,1879-1212,2020,10.1016/j.jspr.2020.101642,WOS:000571911600016
J,"Xu, DP; Li, XY; Jin, YW; Zhuo, ZH; Yang, HJ; Hu, JM; Wang, RL",Influence of climatic factors on the potential distribution of pest Heortia vitessoides Moore in China,"Heortia vitessoides Moore is one of the predominant pests of Aquilaria sinensis (Lour.) Spreng, which is extremely harmful to this plant, and is also an important quarantine pest around the world. To understand the influence of climate factors on the distribution of this pest, maximum entropy modeling (MaxEnt) was used to predict the potential suitable distribution area under certain climatic conditions. The results showed that H. vitessoides was mainly located in the tropical and southern subtropical climate areas of China under current climatic conditions, with a total suitable distribution area of 107.48 x 10(4) km(2). The highly suitable areas were concentrated in the Pearl River Basin and the south of Lancang River Basin with area of 46.19 x 10(4) km(2). In the future, the suitable area showed a ten-dency to expand to the north. The total suitable distribution area of this species would reach 136.21 x 10(4)-151.62 x 10(4) km(2), which was 26.62%-40.65% higher than that of the current. The climatic factors of precipitation of warmest quarter, precipitation of wettest quarter, min temperature of coldest month, and mean temperature of warmest quarter were the dominant variables affecting the distribution of H. vitessoides. It can be seen that the suitable area of this pest is relatively large and tends to expand, which poses a threat to the growth of A. sinensis. It is suggested that the relevant afforestation and phytosanitary departments should attach great importance and take necessary measures to control the spread of this pest. (c) 2020 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",no,,,,,GLOBAL ECOLOGY AND CONSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2351-9894,NA,2020,10.1016/j.gecco.2020.e01107,WOS:000568734400018
J,"Urairi, C; Kawai, A; Takeda, M",A method for mass-rearingLiriomyza chinensis(Diptera: Agromyzidae),"We established a method for mass-rearing the stone leek leafminer,Liriomyza chinensis(Kato) (Diptera: Agromyzidae), one of the most destructive pests of Welsh onion,Allium fistulosumL. We examined three methods that allowL. chinensisto produce eggs year-round. By recording the number of emerged adults for 4 years, we determined the optimal mass-rearing method as follows.Allium fistulosumplants used for oviposition are grown in pots and maintained in a growth chamber with temperature and photoperiod set to 22 celcius and 14 L:10 D, respectively.Allium fistulosumplants are exchanged for a new set of plants three times in a 7-day period. On the first day, 300 adults are placed in the rearing cage. On the fifth day, another 100 emerged adults are placed in the rearing cage. Using this rearing method, it becomes possible to obtain more than 1,000L. chinensiseggs in a day. Our goal is to select and breed a highly resistant line ofA. fistulosumusing a novel method for evaluating egg killing defenses via artificial inoculation of plants withL. chinensiseggs. Here we present our mass-rearing method to obtain large quantities ofL. chinensiseggs.",no,,,,,APPLIED ENTOMOLOGY AND ZOOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0003-6862,1347-605X,2020,10.1007/s13355-020-00697-4,WOS:000564530200001
J,"Stoeckli, S; Felber, R; Haye, T","Current distribution and voltinism of the brown marmorated stink bug,Halyomorpha halys, in Switzerland and its response to climate change using a high-resolution CLIMEX model","Climate change can alter the habitat suitability of invasive species and promote their establishment. The highly polyphagous brown marmorated stinkbug,Halyomorpha halysStal (Hemiptera: Pentatomidae), is native to East Asia and invasive in Europe and North America, damaging a wide variety of fruit and vegetable crops. In Switzerland, crop damage and increasing populations have been observed since 2017 and related to increasing temperatures. We studied the climatic suitability, population growth, and the number of generations under present and future climate conditions forH. halysin Switzerland, using a modified version of the bioclimatic model package CLIMEX. To address the high topographic variability in Switzerland, model simulations were based on climate data of high spatial resolution (approx. 2 km), which significantly increased their explanatory power, and identified many more climatically suitable areas in comparison to previous models. The validation of the CLIMEX model using observational records collected in a citizen science initiative between 2004 and 2019 revealed that more than 15 years after its accidental introduction,H. halyshas colonised nearly all bioclimatic suitable areas in Switzerland and there is limited potential for range expansion into new areas under present climate conditions. Simulations with climate change scenarios suggest an extensive range expansion into higher altitudes, an increase in generations per year, an earlier start ofH. halysactivity in spring and a prolonged period for nymphs to complete development in autumn. A permanent shift from one to two generations per year and the associated population growth ofH. halysmay result in increasing crop damages in Switzerland. These results highlight the need for monitoring the spread and population development in the north-western part of Switzerland and higher altitudes of the valleys of the south.",no,,,,,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0020-7128,1432-1254,2020,10.1007/s00484-020-01992-z,WOS:000563611600001
J,"Chen, L; Sun, JT; Jin, PY; Hoffmann, AA; Bing, XL; Zhao, DS; Xue, XF; Hong, XY",Population genomic data in spider mites point to a role for local adaptation in shaping range shifts,"Local adaptation is particularly likely in invertebrate pests that typically have short generation times and large population sizes, but there are few studies on pest species investigating local adaptation and separating this process from contemporaneous and historical gene flow. Here, we use a population genomic approach to investigate evolutionary processes in the two most dominant spider mites in China,Tetranychus truncatusEhara andTetranychus pueraricolaEhara et Gotoh, which have wide distributions, short generation times, and large population sizes. We generated genome resequencing of 246 spider mites mostly from China, as well as Japan and Canada at a combined total depth of 3,133x. Based on demographic reconstruction, we found that both mite species likely originated from refugia in southwestern China and then spread to other regions, with the dominantT. truncatusspreading similar to 3,000 years later thanT. pueraricola. Estimated changes in population sizes of the pests matched known periods of glaciation and reinforce the recent expansion of the dominant spider mites.T. truncatusshowed a greater extent of local adaptation with more genes (76 vs. 17) associated with precipitation, including candidates involved in regulation of homeostasis of water and ions, signal transduction, and motor skills. In both species, many genes (135 inT. truncatusand 95 inT. pueraricola) also showed signatures of selection related to elevation, including G-protein-coupled receptors, cytochrome P450s, and ABC-transporters. Our results point to historical expansion processes and climatic adaptation in these pests which could have contributed to their growing importance, particularly in the case ofT. truncatus.",no,,,,,EVOLUTIONARY APPLICATIONS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1752-4571,NA,2020,10.1111/eva.13086,WOS:000562948400001
J,"Wiest, R; Salvadori, JR; Fernandes, JMC; Lau, D; Pavan, W; Zanini, WR; Toebe, J; Lazzaretti, AT",Population growth ofRhopalosiphum padiunder different thermal regimes: an agent-based model approach,"Rhopalosiphum padi(Linnaeus, 1758) is abundant and has a broad geographic distribution. It is one of the most important cereal pests. In Brazil, the economic losses associated with this aphid result mainly from the transmission of the barley yellow dwarf viruses. Decision-making for the adoption of management measures must consider the initial population size, the potential for population increase, and the time when this population will reach levels at which the resulting damage is equal to the costs of control measures. Consequently, the establishment of management programmes and decision support systems should be based on models that estimate the potential population growth of this pest species. Temperature is one of the main factors that determine the growth rate of insect populations. Generally, controlled experiments are designed to examine the relationship of temperature at fixed intervals in relation to the development phases of insects. In nature, thermal regimes are not constant, and population growth is the result of a series of combined events. In this work, the effects of different thermal regimes on the population growth ofR. padiwere compared. An agent-based model was used to estimate population growth, and the parameters defined in controlled regimes were compared with fluctuating temperatures under natural conditions. The temperature-driven model presented here can serve as a tool to predict population growth and decision-making for aphid management. The model structure and the proposed experimental design allow the addition of modules and layers of factors that can progressively affect the populations of aphids to gradually improve the model.",yes,field,abundance,,,AGRICULTURAL AND FOREST ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1461-9555,1461-9563,2021,10.1111/afe.12404,WOS:000561680000001
