Authors,Year,title,DOI,Filter_3,Approach,Subapproach,temperature,growth_rate,vi,n_1,order,family,genus,species,feeding_guild,h_p_family,diet_family,RH,daylength,lat,lon,sd_treat,id,sd_median
"Li, WB; Gao, Y; Cui, J; Shi, SS",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,yes,experimental,laboratory,32,0.0486,0.0043,15,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,Fabaceae,Fabaceae,70,16,36.67087,116.98538,0.016653828388691894,2,0.010954451150103323
"Schlesener, DCH; Wollmann, J; Kruger, AP; Martins, LN; Teixeira, CM; Bernardi, D; Garcia, FRM",2020,"Effect of temperature on reproduction, development, and phenotypic plasticity ofDrosophila suzukiiin Brazil",10.1111/eea.12954,yes,experimental,laboratory,13,0.005,0.002,17,Diptera,Drosophilidae,Drosophila,suzukii,borer,Rosaceae,Rosaceae,70,12,-29.84253,-53.76806,0.00824621125123532,3,0.03298484500494128
"Schlesener, DCH; Wollmann, J; Kruger, AP; Martins, LN; Teixeira, CM; Bernardi, D; Garcia, FRM",2020,"Effect of temperature on reproduction, development, and phenotypic plasticity ofDrosophila suzukiiin Brazil",10.1111/eea.12954,yes,experimental,laboratory,18,0.094,0.008,17,Diptera,Drosophilidae,Drosophila,suzukii,borer,Rosaceae,Rosaceae,70,12,-29.84253,-53.76806,0.03298484500494128,3,0.03298484500494128
"Schlesener, DCH; Wollmann, J; Kruger, AP; Martins, LN; Teixeira, CM; Bernardi, D; Garcia, FRM",2020,"Effect of temperature on reproduction, development, and phenotypic plasticity ofDrosophila suzukiiin Brazil",10.1111/eea.12954,yes,experimental,laboratory,23,0.19,0.008,17,Diptera,Drosophilidae,Drosophila,suzukii,borer,Rosaceae,Rosaceae,70,12,-29.84253,-53.76806,0.03298484500494128,3,0.03298484500494128
"Schlesener, DCH; Wollmann, J; Kruger, AP; Martins, LN; Teixeira, CM; Bernardi, D; Garcia, FRM",2020,"Effect of temperature on reproduction, development, and phenotypic plasticity ofDrosophila suzukiiin Brazil",10.1111/eea.12954,yes,experimental,laboratory,25,0.166,0.008,17,Diptera,Drosophilidae,Drosophila,suzukii,borer,Rosaceae,Rosaceae,70,12,-29.84253,-53.76806,0.03298484500494128,3,0.03298484500494128
"Schlesener, DCH; Wollmann, J; Kruger, AP; Martins, LN; Teixeira, CM; Bernardi, D; Garcia, FRM",2020,"Effect of temperature on reproduction, development, and phenotypic plasticity ofDrosophila suzukiiin Brazil",10.1111/eea.12954,yes,experimental,laboratory,28,0.088,0.1,17,Diptera,Drosophilidae,Drosophila,suzukii,borer,Rosaceae,Rosaceae,70,12,-29.84253,-53.76806,0.41231056256176607,3,0.03298484500494128
"del Pino, M; Cabello, T; Hernandez-Suarez, E",2020,"Age-Stage, Two-Sex Life Table of Chrysodeixis chalcites (Lepidoptera: Noctuidae) at Constant Temperatures on Semi-Synthetic Diet",10.1093/ee/nvaa050,yes,experimental,laboratory,15,0.0413,0.0029,13,Lepidoptera,Noctuidae,Chrysodeixis,chalcites,chewer,Musaceae,Artificial,NA,NA,28.0079,-16.65571,0.010456098698845567,4,0.021986242273572522
"del Pino, M; Cabello, T; Hernandez-Suarez, E",2020,"Age-Stage, Two-Sex Life Table of Chrysodeixis chalcites (Lepidoptera: Noctuidae) at Constant Temperatures on Semi-Synthetic Diet",10.1093/ee/nvaa050,yes,experimental,laboratory,20,0.0599,0.0042,18,Lepidoptera,Noctuidae,Chrysodeixis,chalcites,chewer,Musaceae,Artificial,NA,NA,28.0079,-16.65571,0.017819090885900994,4,0.021986242273572522
"del Pino, M; Cabello, T; Hernandez-Suarez, E",2020,"Age-Stage, Two-Sex Life Table of Chrysodeixis chalcites (Lepidoptera: Noctuidae) at Constant Temperatures on Semi-Synthetic Diet",10.1093/ee/nvaa050,yes,experimental,laboratory,25,0.1348,0.006,19,Lepidoptera,Noctuidae,Chrysodeixis,chalcites,chewer,Musaceae,Artificial,NA,NA,28.0079,-16.65571,0.026153393661244046,4,0.021986242273572522
"del Pino, M; Cabello, T; Hernandez-Suarez, E",2020,"Age-Stage, Two-Sex Life Table of Chrysodeixis chalcites (Lepidoptera: Noctuidae) at Constant Temperatures on Semi-Synthetic Diet",10.1093/ee/nvaa050,yes,experimental,laboratory,30,0.1319,0.0076,22,Lepidoptera,Noctuidae,Chrysodeixis,chalcites,chewer,Musaceae,Artificial,NA,NA,28.0079,-16.65571,0.035647159774658065,4,0.021986242273572522
"Tian, ZQ; Wang, SJ; Bai, B; Gao, B; Liu, J",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,yes,experimental,laboratory,13,0.1061,0.001,50,Hemiptera,Aphididae,Aphis,glycines,sucker,Fabaceae,Fabaceae,70,12,45.79883,126.5304,0.007071067811865475,5,0.02887374911938718
"Tian, ZQ; Wang, SJ; Bai, B; Gao, B; Liu, J",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,yes,experimental,laboratory,18,0.2093,0.0046,28,Hemiptera,Aphididae,Aphis,glycines,sucker,Fabaceae,Fabaceae,70,12,45.79883,126.5304,0.024340912061794236,5,0.02887374911938718
"Tian, ZQ; Wang, SJ; Bai, B; Gao, B; Liu, J",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,yes,experimental,laboratory,23,0.3165,0.006,31,Hemiptera,Aphididae,Aphis,glycines,sucker,Fabaceae,Fabaceae,70,12,45.79883,126.5304,0.03340658617698013,5,0.02887374911938718
"Tian, ZQ; Wang, SJ; Bai, B; Gao, B; Liu, J",2020,"Effects of temperature on survival, development, and reproduction of Aphis glycines (Hemiptera: Aphididae) autumnal morphs",10.1653/024.103.0213,yes,experimental,laboratory,28,0.3363,0.0135,26,Hemiptera,Aphididae,Aphis,glycines,sucker,Fabaceae,Fabaceae,70,12,45.79883,126.5304,0.06883676343350259,5,0.02887374911938718
"Islam, T; Roknuzzaman, AHM; Hassan, K; Ullah, MS",2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,yes,experimental,laboratory,22,0.09,0.01,15,Lepidoptera,Pyralidae,Leucinoides,orbonalis,borer,Solanaceae,Solanaceae,60,16,24.72263,90.41868,0.03872983346207417,6,0.04242640687119285
"Islam, T; Roknuzzaman, AHM; Hassan, K; Ullah, MS",2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,yes,experimental,laboratory,24,0.11,0.01,18,Lepidoptera,Pyralidae,Leucinoides,orbonalis,borer,Solanaceae,Solanaceae,60,16,24.72263,90.41868,0.04242640687119285,6,0.04242640687119285
"Islam, T; Roknuzzaman, AHM; Hassan, K; Ullah, MS",2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,yes,experimental,laboratory,26,0.12,0.01,19,Lepidoptera,Pyralidae,Leucinoides,orbonalis,borer,Solanaceae,Solanaceae,60,16,24.72263,90.41868,0.04358898943540674,6,0.04242640687119285
"Islam, T; Roknuzzaman, AHM; Hassan, K; Ullah, MS",2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,yes,experimental,laboratory,28,0.14,0.01,20,Lepidoptera,Pyralidae,Leucinoides,orbonalis,borer,Solanaceae,Solanaceae,60,16,24.72263,90.41868,0.044721359549995794,6,0.04242640687119285
"Islam, T; Roknuzzaman, AHM; Hassan, K; Ullah, MS",2020,Temperature impacts on the eggplant shoot and fruit borer Leucinodes orbonalis: a life table approach,10.1007/s42690-019-00086-7,yes,experimental,laboratory,30,0.13,0.01,18,Lepidoptera,Pyralidae,Leucinoides,orbonalis,borer,Solanaceae,Solanaceae,60,16,24.72263,90.41868,0.04242640687119285,6,0.04242640687119285
"Govindan, BN; Hutchison, WD",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,yes,experimental,laboratory,20,0.0286,1e-4,29,Hemiptera,Pentatomidae,Halyomorpha,halys,sucker,various,Fabaceae,70,16,43.17003,-107.56853,5.385164807134504e-4,7,5.385164807134504e-4
"Govindan, BN; Hutchison, WD",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,yes,experimental,laboratory,23,0.0606,1e-4,29,Hemiptera,Pentatomidae,Halyomorpha,halys,sucker,various,Fabaceae,70,16,43.17003,-107.56853,5.385164807134504e-4,7,5.385164807134504e-4
"Govindan, BN; Hutchison, WD",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,yes,experimental,laboratory,27,0.0876,1e-4,24,Hemiptera,Pentatomidae,Halyomorpha,halys,sucker,various,Fabaceae,70,16,43.17003,-107.56853,4.898979485566356e-4,7,5.385164807134504e-4
"Govindan, BN; Hutchison, WD",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,yes,experimental,laboratory,30,0.0794,1e-4,50,Hemiptera,Pentatomidae,Halyomorpha,halys,sucker,various,Fabaceae,70,16,43.17003,-107.56853,7.071067811865476e-4,7,5.385164807134504e-4
"Govindan, BN; Hutchison, WD",2020,"Influence of Temperature on Age-Stage, Two-Sex Life Tables for a Minnesota-Acclimated Population of the Brown Marmorated Stink Bug (Halyomorpha halys)",10.3390/insects11020108,yes,experimental,laboratory,33,0.0339,0.001,56,Hemiptera,Pentatomidae,Halyomorpha,halys,sucker,various,Fabaceae,70,16,43.17003,-107.56853,0.0074833147735478825,7,5.385164807134504e-4
"Choudhary, JS; Mali, SS; Naaz, N; Mukherjee, D; Moanaro, L; Das, B; Singh, AK; Rao, MS; Bhatt, BP",2020,Predicting the population growth potential of Bactrocera zonata (Saunders) (Diptera: Tephritidae) using temperature development growth models and their validation in fluctuating temperature condition,10.1007/s12600-019-00777-4,yes,experimental,laboratory,20,0.02,0.003,10,Diptera,Tephritidae,Bactrocera,oleae,borer,Anacardiaceae,Artificial,60,12,23.45598,85.25573,0.00948683298050514,8,0.00948683298050514
"Choudhary, JS; Mali, SS; Naaz, N; Mukherjee, D; Moanaro, L; Das, B; Singh, AK; Rao, MS; Bhatt, BP",2020,Predicting the population growth potential of Bactrocera zonata (Saunders) (Diptera: Tephritidae) using temperature development growth models and their validation in fluctuating temperature condition,10.1007/s12600-019-00777-4,yes,experimental,laboratory,25,0.07,0.003,10,Diptera,Tephritidae,Bactrocera,oleae,borer,Anacardiaceae,Artificial,60,12,23.45598,85.25573,0.00948683298050514,8,0.00948683298050514
"Choudhary, JS; Mali, SS; Naaz, N; Mukherjee, D; Moanaro, L; Das, B; Singh, AK; Rao, MS; Bhatt, BP",2020,Predicting the population growth potential of Bactrocera zonata (Saunders) (Diptera: Tephritidae) using temperature development growth models and their validation in fluctuating temperature condition,10.1007/s12600-019-00777-4,yes,experimental,laboratory,30,0.2,1e-4,10,Diptera,Tephritidae,Bactrocera,oleae,borer,Anacardiaceae,Artificial,60,12,23.45598,85.25573,3.16227766016838e-4,8,0.00948683298050514
"Choudhary, JS; Mali, SS; Naaz, N; Mukherjee, D; Moanaro, L; Das, B; Singh, AK; Rao, MS; Bhatt, BP",2020,Predicting the population growth potential of Bactrocera zonata (Saunders) (Diptera: Tephritidae) using temperature development growth models and their validation in fluctuating temperature condition,10.1007/s12600-019-00777-4,yes,experimental,laboratory,35,0.08,0.003,10,Diptera,Tephritidae,Bactrocera,oleae,borer,Anacardiaceae,Artificial,60,12,23.45598,85.25573,0.00948683298050514,8,0.00948683298050514
"Saeed, S; Jaleel, W; Naqqash, MN; Saeed, Q; Zaka, SM; Sarwar, ZM; Ishtiaq, M; Qayyum, MA; Sial, MU; Qurat-Ul-Aine; Batool, M; Khan, KA; Ghramh, HA; Hafeez, M; Ansari, MJ; Sharma, GK",2019,"Fitness parameters of Plutella xylostella (L.) (Lepidoptera; Plutellidae) at four constant temperatures by using age-stage, two-sex life tables",10.1016/j.sjbs.2018.08.026,yes,experimental,laboratory,15,0.11,0.01,30,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,NA,NA,30.19798,71.4725,0.05477225575051661,9,0.08215838362577492
"Saeed, S; Jaleel, W; Naqqash, MN; Saeed, Q; Zaka, SM; Sarwar, ZM; Ishtiaq, M; Qayyum, MA; Sial, MU; Qurat-Ul-Aine; Batool, M; Khan, KA; Ghramh, HA; Hafeez, M; Ansari, MJ; Sharma, GK",2019,"Fitness parameters of Plutella xylostella (L.) (Lepidoptera; Plutellidae) at four constant temperatures by using age-stage, two-sex life tables",10.1016/j.sjbs.2018.08.026,yes,experimental,laboratory,20,0.17,0.01,30,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,NA,NA,30.19798,71.4725,0.05477225575051661,9,0.08215838362577492
"Saeed, S; Jaleel, W; Naqqash, MN; Saeed, Q; Zaka, SM; Sarwar, ZM; Ishtiaq, M; Qayyum, MA; Sial, MU; Qurat-Ul-Aine; Batool, M; Khan, KA; Ghramh, HA; Hafeez, M; Ansari, MJ; Sharma, GK",2019,"Fitness parameters of Plutella xylostella (L.) (Lepidoptera; Plutellidae) at four constant temperatures by using age-stage, two-sex life tables",10.1016/j.sjbs.2018.08.026,yes,experimental,laboratory,25,0.22,0.02,30,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,NA,NA,30.19798,71.4725,0.10954451150103323,9,0.08215838362577492
"Saeed, S; Jaleel, W; Naqqash, MN; Saeed, Q; Zaka, SM; Sarwar, ZM; Ishtiaq, M; Qayyum, MA; Sial, MU; Qurat-Ul-Aine; Batool, M; Khan, KA; Ghramh, HA; Hafeez, M; Ansari, MJ; Sharma, GK",2019,"Fitness parameters of Plutella xylostella (L.) (Lepidoptera; Plutellidae) at four constant temperatures by using age-stage, two-sex life tables",10.1016/j.sjbs.2018.08.026,yes,experimental,laboratory,30,0.25,0.02,30,Lepidoptera,Plutellidae,Plutella,xylostella,chewer,Brassicaceae,Brassicaceae,NA,NA,30.19798,71.4725,0.10954451150103323,9,0.08215838362577492
"Chiu, MC; Ni, YH; Lu, KH; Kuo, MH",2019,"Effects of experimental warming on wild and transgenic oriental fruit fly, Bactrocera dorsalis",10.1111/jen.12672,yes,experimental,laboratory,28.6,0.1386,0.051428571428571504,31,Diptera,Tephritidae,Bactrocera,dorsalis,borer,NA,Artificial,NA,14,23.97394,120.98202,0.28634216723125866,10,0.11570876287075804
"Chiu, MC; Ni, YH; Lu, KH; Kuo, MH",2019,"Effects of experimental warming on wild and transgenic oriental fruit fly, Bactrocera dorsalis",10.1111/jen.12672,yes,experimental,laboratory,30,0.1458,0.0108801020408165,68,Diptera,Tephritidae,Bactrocera,dorsalis,borer,NA,Artificial,NA,14,23.97394,120.98202,0.0897196198635694,10,0.11570876287075804
"Chiu, MC; Ni, YH; Lu, KH; Kuo, MH",2019,"Effects of experimental warming on wild and transgenic oriental fruit fly, Bactrocera dorsalis",10.1111/jen.12672,yes,experimental,laboratory,32.5,0.060955,0.016045918367347,52,Diptera,Tephritidae,Bactrocera,dorsalis,borer,NA,Artificial,NA,14,23.97394,120.98202,0.11570876287075804,10,0.11570876287075804
"Lacerda, LF; Coelho, A; Garcia, AG; Sentelhas, PC; Parra, JRP",2019,"Biology at Different Temperatures, Thermal Requirements, and Ecological Zoning of Opogona sacchari (Lepidoptera: Tineidae)",10.1093/jee/toz103,yes,experimental,laboratory,18,0.085,0.012755102040816,22,Lepidoptera,Tineidae,Opogona,sacchari,borer,Musaceae,Artificial,70,14,-23.55065,-46.63338,0.05982673163039936,11,0.12987675572814203
"Lacerda, LF; Coelho, A; Garcia, AG; Sentelhas, PC; Parra, JRP",2019,"Biology at Different Temperatures, Thermal Requirements, and Ecological Zoning of Opogona sacchari (Lepidoptera: Tineidae)",10.1093/jee/toz103,yes,experimental,laboratory,22,0.147,0.017857142857143,51,Lepidoptera,Tineidae,Opogona,sacchari,borer,Musaceae,Artificial,70,14,-23.55065,-46.63338,0.1275255076525519,11,0.12987675572814203
"Lacerda, LF; Coelho, A; Garcia, AG; Sentelhas, PC; Parra, JRP",2019,"Biology at Different Temperatures, Thermal Requirements, and Ecological Zoning of Opogona sacchari (Lepidoptera: Tineidae)",10.1093/jee/toz103,yes,experimental,laboratory,25,0.233,0.030612244897959,61,Lepidoptera,Tineidae,Opogona,sacchari,borer,Musaceae,Artificial,70,14,-23.55065,-46.63338,0.23908927579305939,11,0.12987675572814203
"Lacerda, LF; Coelho, A; Garcia, AG; Sentelhas, PC; Parra, JRP",2019,"Biology at Different Temperatures, Thermal Requirements, and Ecological Zoning of Opogona sacchari (Lepidoptera: Tineidae)",10.1093/jee/toz103,yes,experimental,laboratory,28,0.083,0.040408163265306,17,Lepidoptera,Tineidae,Opogona,sacchari,borer,Musaceae,Artificial,70,14,-23.55065,-46.63338,0.16660712528006008,11,0.12987675572814203
"Lacerda, LF; Coelho, A; Garcia, AG; Sentelhas, PC; Parra, JRP",2019,"Biology at Different Temperatures, Thermal Requirements, and Ecological Zoning of Opogona sacchari (Lepidoptera: Tineidae)",10.1093/jee/toz103,yes,experimental,laboratory,30,0.068,0.045918367346939,8,Lepidoptera,Tineidae,Opogona,sacchari,borer,Musaceae,Artificial,70,14,-23.55065,-46.63338,0.12987675572814203,11,0.12987675572814203
"Barbosa, LR; Santos, F; Soliman, EP; Rodrigues, AP; Wilcken, CF; Campos, JM; Zanuncio, AJV; Zanuncio, JC",2019,"Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures",10.1038/s41598-019-45663-5,yes,experimental,laboratory,18,0.027,0.001,52,Hemiptera,Thaumastocoridae,Thaumastocoris,peregrinus,sucker,Myrtaceae,Myrtaceae,70,12,-25.29254,-49.22435,0.007211102550927978,12,0.014422205101855956
"Barbosa, LR; Santos, F; Soliman, EP; Rodrigues, AP; Wilcken, CF; Campos, JM; Zanuncio, AJV; Zanuncio, JC",2019,"Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures",10.1038/s41598-019-45663-5,yes,experimental,laboratory,22,0.025,0.002,36,Hemiptera,Thaumastocoridae,Thaumastocoris,peregrinus,sucker,Myrtaceae,Myrtaceae,70,12,-25.29254,-49.22435,0.012,12,0.014422205101855956
"Barbosa, LR; Santos, F; Soliman, EP; Rodrigues, AP; Wilcken, CF; Campos, JM; Zanuncio, AJV; Zanuncio, JC",2019,"Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures",10.1038/s41598-019-45663-5,yes,experimental,laboratory,25,0.046,0.002,52,Hemiptera,Thaumastocoridae,Thaumastocoris,peregrinus,sucker,Myrtaceae,Myrtaceae,70,12,-25.29254,-49.22435,0.014422205101855956,12,0.014422205101855956
"Barbosa, LR; Santos, F; Soliman, EP; Rodrigues, AP; Wilcken, CF; Campos, JM; Zanuncio, AJV; Zanuncio, JC",2019,"Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures",10.1038/s41598-019-45663-5,yes,experimental,laboratory,27,0.03,0.005,33,Hemiptera,Thaumastocoridae,Thaumastocoris,peregrinus,sucker,Myrtaceae,Myrtaceae,70,12,-25.29254,-49.22435,0.028722813232690145,12,0.014422205101855956
"Barbosa, LR; Santos, F; Soliman, EP; Rodrigues, AP; Wilcken, CF; Campos, JM; Zanuncio, AJV; Zanuncio, JC",2019,"Biological parameters, life table and thermal requirements of Thaumastocoris peregrinus (Heteroptera: Thaumastocoridae) at different temperatures",10.1038/s41598-019-45663-5,yes,experimental,laboratory,30,0,0.063,23,Hemiptera,Thaumastocoridae,Thaumastocoris,peregrinus,sucker,Myrtaceae,Myrtaceae,70,12,-25.29254,-49.22435,0.3021373859687013,12,0.014422205101855956
"Ahn, JJ; Choi, KS; Koh, S",2019,"Effects of temperature on the development, fecundity, and life table parameters of Riptortus pedestris (Hemiptera: Alydidae)",10.1007/s13355-018-0593-5,yes,experimental,laboratory,19.7,0.04,0.002,27,Hemiptera,Alydidae,Riptortus,pedestris,sucker,Fabaceae,Fabaceae,60,16,35.93808,127.16437,0.010392304845413263,13,0.039191835884530846
"Ahn, JJ; Choi, KS; Koh, S",2019,"Effects of temperature on the development, fecundity, and life table parameters of Riptortus pedestris (Hemiptera: Alydidae)",10.1007/s13355-018-0593-5,yes,experimental,laboratory,24,0.06,0.003,29,Hemiptera,Alydidae,Riptortus,pedestris,sucker,Fabaceae,Fabaceae,60,16,35.93808,127.16437,0.016155494421403512,13,0.039191835884530846
"Ahn, JJ; Choi, KS; Koh, S",2019,"Effects of temperature on the development, fecundity, and life table parameters of Riptortus pedestris (Hemiptera: Alydidae)",10.1007/s13355-018-0593-5,yes,experimental,laboratory,27.8,0.1,0.012,27,Hemiptera,Alydidae,Riptortus,pedestris,sucker,Fabaceae,Fabaceae,60,16,35.93808,127.16437,0.062353829072479584,13,0.039191835884530846
"Ahn, JJ; Choi, KS; Koh, S",2019,"Effects of temperature on the development, fecundity, and life table parameters of Riptortus pedestris (Hemiptera: Alydidae)",10.1007/s13355-018-0593-5,yes,experimental,laboratory,32.6,0.11,0.008,24,Hemiptera,Alydidae,Riptortus,pedestris,sucker,Fabaceae,Fabaceae,60,16,35.93808,127.16437,0.039191835884530846,13,0.039191835884530846
"Ahn, JJ; Choi, KS; Koh, S",2019,"Effects of temperature on the development, fecundity, and life table parameters of Riptortus pedestris (Hemiptera: Alydidae)",10.1007/s13355-018-0593-5,yes,experimental,laboratory,35.5,0,0.01,23,Hemiptera,Alydidae,Riptortus,pedestris,sucker,Fabaceae,Fabaceae,60,16,35.93808,127.16437,0.04795831523312719,13,0.039191835884530846
"Soh, BSB; Kekeunou, S; Nanga, SN; Dongmo, M; Rachid, H",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,yes,experimental,laboratory,10,0.0836,8.5e-4,49,Hemiptera,Aphididae,Brevicoryne,brassicae,sucker,Brassicaceae,Brassicaceae,75,12,5.4469900000000004,10.05331,0.0059499999999999996,15,0.027820855486487113
"Soh, BSB; Kekeunou, S; Nanga, SN; Dongmo, M; Rachid, H",2018,Effect of temperature on the biological parameters of the cabbage aphid Brevicoryne brassicae,10.1002/ece3.4639,yes,experimental,laboratory,15,0.08,0.003,80,Hemiptera,Aphididae,Brevicoryne,brassicae,sucker,Brassicaceae,Brassicaceae,75,12,5.4469900000000004,10.05331,0.02683281572999748,15,0.027820855486487113
